date,open,high,low,close,volume
2015-01-01,14989.63017741216,15107.387985605856,14887.861562811866,15101.313599275036,233224038
2015-01-02,15091.939671766213,15177.57120368474,14884.389240520772,14884.389240520772,176737383
2015-01-03,14845.305081383729,14896.777258763104,14715.95538466347,14715.95538466347,206328085
2015-01-04,14760.35645538811,14795.387582884967,14220.325386448558,14220.325386448558,448192957
2015-01-05,14165.721007714674,14237.395248644867,14025.964170383188,14212.909624133661,494118648
2015-01-06,14176.280421721784,14223.972164933703,14140.550343886027,14202.269619108365,417335939
2015-01-07,14249.467620004589,14321.902395029863,14219.148600012382,14269.799996756408,354403923
2015-01-08,14191.237772956461,14357.103392166542,14068.262760581225,14357.103392166542,307724578
2015-01-09,14385.053005182772,14490.066456613513,14320.411056357618,14335.543151076232,186191493
2015-01-10,14235.666207659626,14304.637967147559,14111.270996020881,14304.637967147559,421066539
2015-01-11,14316.894773254931,14475.482998045327,14265.814055559491,14475.482998045327,294249720
2015-01-12,14594.310147428045,14692.004595651404,14452.423644527878,14651.991102287608,283378299
2015-01-13,14575.22414856072,14623.645018307358,14366.865243846152,14366.865243846152,307882760
2015-01-14,14410.804597919318,14440.262832321836,14264.47973780269,14264.47973780269,451574608
2015-01-15,14312.819735213834,14512.609036863416,14178.130275785552,14512.609036863416,211999993
2015-01-16,14592.402770054086,14629.007327968384,14262.289066453202,14262.289066453202,422909911
2015-01-17,14385.40945121727,14590.402700145814,14292.04890045385,14590.402700145814,134045666
2015-01-18,14543.339915098273,14660.941439443352,14448.9504747013,14622.230849665464,190053374
2015-01-19,14646.569000230153,14727.340317341788,14511.481696677034,14511.481696677034,189178975
2015-01-20,14587.122186796834,14675.645093671574,14276.689892416132,14276.689892416132,251968492
2015-01-21,14290.276802963159,14426.646464632571,13986.194761040208,13986.194761040208,399724018
2015-01-22,14067.18788152793,14193.394256119129,13948.610256957854,14172.997399914502,364441387
2015-01-23,14158.13754810414,14362.575665003644,14115.992968562981,14362.575665003644,392072678
2015-01-24,14395.678214527055,14499.061079420442,14339.92703533288,14339.92703533288,335283714
2015-01-25,14323.107223452742,14399.582418334438,14269.010817129527,14324.205832269326,183375337
2015-01-26,14312.312379109755,14409.550872007665,14224.287006849587,14409.550872007665,435088872
2015-01-27,14398.99783520712,14457.044850842065,14255.856322112493,14255.856322112493,406249510
2015-01-28,14253.966432117762,14314.955219744912,13843.714924710966,13843.714924710966,111506305
2015-01-29,13837.889137481654,13903.765377154423,13739.988690549171,13746.192498670038,339253117
2015-01-30,13665.868132299607,13800.95802160754,13612.073232665374,13658.752635288149,302445635
2015-01-31,13611.68496909613,13665.277977370066,13497.004916357939,13567.925208887416,131378291
2015-02-01,13582.642115265575,13698.521815059585,13468.727742097986,13573.391794997917,210456008
2015-02-02,13534.958890215335,13566.443926913258,13333.855863616704,13333.855863616704,325762234
2015-02-03,13270.421927709483,13413.369906781896,13206.865525748442,13413.369906781896,312027187
2015-02-04,13454.750406169636,13537.389628532412,13337.671462255625,13425.796678783734,317712394
2015-02-05,13404.177016610542,13530.143426208051,13246.694029920773,13246.694029920773,134109026
2015-02-06,13212.089593111834,13342.32574147875,13088.104114958911,13088.104114958911,146510960
2015-02-07,13074.632089823157,13194.627481526255,12954.301747047959,13010.99309147185,134795514
2015-02-08,12955.916623730307,13054.418678192998,12839.041835159782,12839.041835159782,151910807
2015-02-09,12824.48733970094,13001.593519297134,12702.846051917797,13001.593519297134,251786915
2015-02-10,13056.681364167292,13100.999971636727,13019.9689486171,13100.999971636727,265363810
2015-02-11,12974.275951254785,13046.768331751762,12845.108475018696,12946.447893573437,318722275
2015-02-12,12997.397642624364,13057.22723206774,12807.372763980537,12807.372763980537,205797503
2015-02-13,12868.746580293238,13036.148930032476,12787.154585239652,13036.148930032476,137856186
2015-02-14,12985.843686073844,13037.162664405523,12719.009714884925,12719.009714884925,177729132
2015-02-15,12717.119329318903,12890.805717319896,12656.069179578097,12890.805717319896,186343264
2015-02-16,13066.13157854365,13112.672406247597,12964.48208020893,13014.260963449935,232166290
2015-02-17,13040.079583650173,13329.539770655518,12910.247281996813,13329.539770655518,438995676
2015-02-18,13306.286309696527,13427.435198314797,13178.218962115438,13427.435198314797,446819932
2015-02-19,13422.545670788477,13552.86462734417,13304.104112457899,13517.826475223086,290906558
2015-02-20,13477.48270246514,13533.384589788342,13285.525804859251,13285.525804859251,343959576
2015-02-21,13263.245245781614,13481.358608815708,13229.247183988318,13481.358608815708,460428145
2015-02-22,13404.314646494311,13525.207953535168,13298.070052140314,13416.018366152603,409305248
2015-02-23,13367.172035236055,13453.023497193271,13308.729674362921,13451.112422313607,292332313
2015-02-24,13468.411056698782,13593.747072056,13386.378477636763,13529.917745082845,106512440
2015-02-25,13563.403997509782,13598.228408042594,13322.667352607521,13322.667352607521,318049165
2015-02-26,13373.22482488502,13440.153316663174,13309.982327550813,13309.982327550813,436210646
2015-02-27,13389.934089956827,13433.32193437022,13148.888816944744,13148.888816944744,481966485
2015-02-28,13154.16143671705,13184.400032423891,13041.288149260807,13072.369162385763,259267818
2015-03-01,13001.925774386136,13108.020818128061,12953.473210996839,13014.462234941964,453326182
2015-03-02,13134.417428647139,13605.096361393742,13031.854300442352,13605.096361393742,170009467
2015-03-03,13469.684867949007,13576.800397121018,13205.426966186547,13205.426966186547,354836185
2015-03-04,13315.117959548274,13360.207669975074,13160.96502859186,13160.96502859186,101043233
2015-03-05,13147.500275227543,13193.029121756384,13022.902572379046,13084.519460625566,156996736
2015-03-06,13152.066019596074,13570.72709570115,13099.696492924728,13570.72709570115,244510386
2015-03-07,13697.749486757612,13735.865848321884,13616.481738975588,13648.973452535925,307025440
2015-03-08,13614.959758726483,14046.508813466407,13484.34919168276,14046.508813466407,150166883
2015-03-09,14013.803991898669,14111.99702536411,13929.369560643203,13986.810852121873,269124855
2015-03-10,14019.127621565016,14055.080375015352,13812.729195954345,13812.729195954345,213865200
2015-03-11,13876.6981923911,13993.367841813613,13773.769910304796,13948.316136647387,415109026
2015-03-12,14095.56276629811,14185.280097431898,13961.207830330552,13965.502935827766,147685442
2015-03-13,14039.564691759679,14145.161892661383,13980.71520261574,14145.161892661383,484782347
2015-03-14,14101.120965069658,14160.555469826644,14036.935411558066,14160.555469826644,343153865
2015-03-15,14135.385886733697,14242.445848059573,14003.452450148436,14003.452450148436,110617244
2015-03-16,13968.032113793712,14104.089747751836,13878.863338664802,13949.158795178295,308181092
2015-03-17,13991.729553960227,14148.568504264556,13917.560215296084,14148.568504264556,100070640
2015-03-18,14230.767252953565,14365.19191441664,14087.91822890674,14087.91822890674,331902576
2015-03-19,14148.345864729143,14391.210328953848,14077.295261601916,14391.210328953848,247435376
2015-03-20,14392.721682467112,14674.562579473084,14260.824106398735,14674.562579473084,160995760
2015-03-21,14746.763154894916,14889.134409519535,14637.428304657877,14655.78508097046,415413330
2015-03-22,14654.738617780438,14694.799297481915,14467.174096426603,14467.174096426603,330652851
2015-03-23,14524.439706522642,14776.75337985694,14403.640738260028,14776.75337985694,491727212
2015-03-24,14900.530355803374,15014.469524127911,14755.26187352861,14973.062781165672,370711816
2015-03-25,15074.72095261347,15213.523256592269,15034.428417649051,15213.523256592269,426284940
2015-03-26,15110.315818985226,15248.351202379947,14995.75493320631,14995.75493320631,157235484
2015-03-27,14890.225024016729,15016.827621711862,14566.790498536975,14566.790498536975,494659116
2015-03-28,14665.852785171055,14704.981364489868,14519.730856680457,14519.730856680457,350844341
2015-03-29,14580.129901445825,14647.811159435754,14357.197936351467,14357.197936351467,115814828
2015-03-30,14336.476290276396,14371.60676747197,14294.175895780345,14332.495093248192,412632190
