date,portfolio_return
2015-01-02,-0.001525131628447824
2015-01-03,0.0019507531600925024
2015-01-04,0.0026670982624870106
2015-01-05,0.006658995226183783
2015-01-06,-0.0017441377097710798
2015-01-07,-0.008418256771357416
2015-01-08,0.005001265965171892
2015-01-09,-0.0034232522528395253
2015-01-10,-0.0017651247867066114
2015-01-11,-0.00469092518985902
2015-01-12,0.01086080801734682
2015-01-13,-0.00135410502218484
2015-01-14,0.00833757060651366
2015-01-15,0.004435169250367372
2015-01-16,0.004934534327458649
2015-01-17,0.0009422279617038236
2015-01-18,0.00498562238488029
2015-01-19,-0.000919478306633661
2015-01-20,-0.0017873422944279474
2015-01-21,0.01379206920566283
2015-01-22,-0.0027247992028014206
2015-01-23,-0.00267591108393493
2015-01-24,-0.0007490480260157976
2015-01-25,-0.00802660990613648
2015-01-26,0.003602446990649329
2015-01-27,-0.004442338411957068
2015-01-28,-0.001214596640484929
2015-01-29,-0.0010342018974911235
2015-01-30,0.008505937788874126
2015-01-31,-0.0010026547778050688
2015-02-01,0.011982282324676892
2015-02-02,0.0016697960668763364
2015-02-03,0.00338316871972573
2015-02-04,0.003357981332889848
2015-02-05,-0.0005070153076189043
2015-02-06,0.00021212912881063143
2015-02-07,0.0113003352109643
2015-02-08,0.008067507863465172
2015-02-09,0.002808001589771277
2015-02-10,0.0003192361279742386
2015-02-11,0.00703124975517773
2015-02-12,0.0014406719326416143
2015-02-13,0.012639803189694713
2015-02-14,0.002346889231012948
2015-02-15,0.0016386864522160449
2015-02-16,-0.00606326892787864
2015-02-17,-0.0014185594198753118
2015-02-18,0.00565158404913044
2015-02-19,-0.0047544818394548525
2015-02-20,-0.002478451115458441
2015-02-21,0.0057569487223408655
2015-02-22,0.0008191443798745046
2015-02-23,0.007723796159452007
2015-02-24,-0.0008788795538785716
2015-02-25,0.006536397373498907
2015-02-26,-0.003160761772267244
2015-02-27,-0.0035323131938977243
2015-02-28,-0.00039700929623602674
2015-03-01,0.005406012818168614
2015-03-02,-0.006189448218940583
2015-03-03,-0.0005155723779978992
2015-03-04,-0.0012284954422725654
2015-03-05,-0.0017466633770671278
2015-03-06,0.003792810652955786
2015-03-07,-0.005642957716287382
2015-03-08,0.008859294817066219
2015-03-09,0.005808266886275243
2015-03-10,-0.0002396989016568427
2015-03-11,0.004066594141938561
2015-03-12,0.0032782780318261822
2015-03-13,-0.00268175483953622
2015-03-14,0.008954661555752502
2015-03-15,0.0008901362082952091
2015-03-16,0.0034170300661604818
2015-03-17,-0.003366222341851452
2015-03-18,-0.006685855327477876
2015-03-19,-0.00884354613670074
2015-03-20,-0.002137756685122989
2015-03-21,0.004382294176602428
